Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Salary
6,Brandon Nimmo,32,LF,2.9,155,652,587,81,154,27,0,25,92,13,1,50,141,0.262,0.324,0.436,0.76,114,0.335,113,256,8,7,1,7,1,20250000
5,Brett Baty,25,3B,3.1,130,432,393,53,100,13,2,18,50,8,0,33,108,0.254,0.313,0.435,0.748,111,0.336,113,171,6,2,0,3,0,774000
14,Cedric Mullins,30,CF,0.3,42,143,121,16,22,4,1,2,10,8,0,16,35,0.182,0.284,0.281,0.565,62,0.287,71,34,0,2,2,2,0,8725000
11,Francisco Alvarez,23,C,2.1,76,277,246,32,63,12,1,11,32,0,0,27,73,0.256,0.339,0.447,0.787,122,0.35,126,110,6,4,0,0,0,795000
4,Francisco Lindor,31,SS,5.8,160,732,644,117,172,35,0,31,86,31,6,65,131,0.267,0.346,0.466,0.811,129,0.359,128,300,9,16,0,7,2,34150000
16,Hayden Senger,28,C,-0.2,33,78,72,8,13,1,0,0,4,0,0,3,22,0.181,0.221,0.194,0.415,20,0.19,11,14,3,1,1,1,0,760000
17,Jared Young,29,DH,0.1,22,47,43,5,8,1,0,4,6,0,0,2,16,0.186,0.234,0.488,0.722,99,0.302,92,21,1,1,0,1,0,1150000
3,Jeff McNeil,33,2B,2,122,462,399,42,97,21,5,12,54,3,0,49,55,0.243,0.335,0.411,0.746,111,0.333,113,164,5,8,2,4,4,15750000
15,Jesse Winker,31,DH,0,26,81,70,8,16,5,2,1,10,1,0,9,21,0.229,0.309,0.4,0.709,100,0.305,92,28,1,0,0,2,1,750000
19,José Azócar,29,OF,0,12,20,18,5,5,0,0,0,1,1,0,2,1,0.278,0.35,0.278,0.628,83,0.302,84,5,0,0,0,0,0,760000
18,Jose Siri,29,CF,-0.5,16,36,32,7,2,2,0,0,1,2,0,4,17,0.063,0.167,0.125,0.292,-15,0.16,-17,4,0,0,0,0,0,2400000
8,Juan Soto,26,RF,6.2,160,715,577,120,152,20,1,43,105,38,4,127,137,0.263,0.396,0.525,0.921,160,0.41,163,303,17,3,1,6,13,61875000
1,Luis Torrens,29,C,1.4,92,283,261,20,59,14,1,5,29,1,0,19,56,0.226,0.284,0.345,0.629,78,0.283,78,90,7,2,1,0,0,1500000
12,Luisangel Acuña,23,2B,0.6,95,193,175,30,41,7,0,0,8,16,1,13,37,0.234,0.293,0.274,0.567,63,0.273,59,48,6,2,2,1,0,766000
10,Mark Vientos,25,3B,-0.2,121,463,424,44,99,21,2,17,61,1,0,30,115,0.233,0.289,0.413,0.702,97,0.31,98,175,11,5,0,4,0,788750
2,Pete Alonso,30,1B,3.4,162,709,624,87,170,41,1,38,126,1,2,61,162,0.272,0.347,0.524,0.871,144,0.371,142,327,23,15,0,9,5,30100000
13,Ronny Mauricio,24,3B,0.7,61,184,168,19,38,6,0,6,10,4,0,15,54,0.226,0.293,0.369,0.663,88,0.303,89,62,5,1,0,0,1,766000
9,Starling Marte,36,DH,1,98,329,293,37,79,14,0,9,34,7,2,22,68,0.27,0.335,0.41,0.745,111,0.331,112,120,7,9,1,4,0,20750000
7,Tyrone Taylor,31,CF,1.2,113,341,310,34,69,18,3,2,27,12,2,16,76,0.223,0.279,0.319,0.598,70,0.276,70,99,4,9,3,2,1,3025000
